Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Henning,Norman,Skogsvägen 185,Östersund,78696,Sverige,SE,19700713-0631,+46,092-873 98 84,1970-07-13,True
Daniel,Olsson,Trädgårdstorget 441,Lidingö,51803,Sverige,SE,19640621-0250,+46,08-973 881 35,1964-06-21,True
Gillis,Persson,Industrivägen 823,Örnsköldsvik,58152,Sverige,SE,19460317-6905,+46,08-311 54 00,1946-03-17,True
Mimmi,Jakobsson,Grantorget 99,Örnsköldsvik,92322,Sverige,SE,19450202-9013,+46,+46 (0)556 521 72,1945-02-02,True
Joseph,West,Davis Estate 0781,Beckborough,41031,Danmark,DK,19500212-4991,+45,6728642807,1950-02-12,True
Anna,Nordlander,Trädgårdsgatan 3,Gävle,29516,Sverige,SE,19680502-5400,+46,+46 (0)552 892 93,1968-05-02,True
Julia,Johansson,Åkergatan 0,Kalmar,94415,Sverige,SE,19440828-6170,+46,029-599 60 75,1944-08-28,True
Inkeri,Pitkänen,Orisaarenpolku 259,Keuruu,54669,Finland,FI,19860825-693N,+358,+358 94 4748871,1986-08-25,True
Barbara,Contreras,Parsons Brook 442,West Andrew,00594,Danmark,DK,19970808-6072,+45,+1-262-311-4355x02854,1997-08-08,True
Derek,Anderson,Brooks Throughway 1005,Calvinshire,82750,Danmark,DK,19660613-0847,+45,335.568.1587,1966-06-13,True
Ebba,Malmqvist,Skolgatan 00,Umeå,59775,Sverige,SE,19751220-9702,+46,08-281 963 65,1975-12-20,True
Billy,Magnusson,Stationsvägen 792,Sundsvall,40560,Sverige,SE,19580820-2172,+46,+46 (0)37 51 92 97,1958-08-20,True
Kelly,Stone,Toni Springs 6943,New Tyler,78961,Danmark,DK,19720710-7644,+45,984-485-4260,1972-07-10,True
Richard,Oliver,Cory Station 1961,Rachaelchester,67998,Danmark,DK,19831020-2859,+45,+1-542-289-2533x13333,1983-10-20,True
Kristina,Hult,Parktorget 210,Borlänge,97244,Sverige,SE,19980124-4711,+46,+46 (0)8 231 482 13,1998-01-24,True
Maj-Britt,Strömberg,Stationsgatan 684,Falun,72535,Sverige,SE,19760309-8017,+46,035-193 87 54,1976-03-09,True
Antero,Hämäläinen,Puuskapolku 871,Akaa,95816,Finland,FI,19640422-273L,+358,+358840241529,1964-04-22,True
Alexandra,Persson,Aspstigen 2,Sundsvall,14566,Sverige,SE,19550328-6215,+46,08-39 50 90,1955-03-28,True
Mattias,Björk,Fabriksvägen 5,Karlskoga,53367,Sverige,SE,19910407-4481,+46,0857-413 48,1991-04-07,True
Micheal,Anderson,Lindsay Mall 22021,Port Natalie,34341,Danmark,DK,19431115-9937,+45,(967)497-3992x45948,1943-11-15,True
Alexander,Lindkvist,Järnvägsvägen 50,Västerås,77496,Sverige,SE,19721219-7694,+46,0717-498 09,1972-12-19,True
Carl,Olsson,Järnvägsgränd 2,Lidingö,52489,Sverige,SE,19630313-0764,+46,+46 (0)71 34 34 52,1963-03-13,True
Tapio,Väänänen,Lukkarimäenpolku 656,Muurame,30087,Finland,FI,19740319-2607,+358,+358 628840639,1974-03-19,True
Liv,Simonsen,Engengropa 1,Sveinø,6108,Norge,NO,19840406-7404,+47,46863901,1984-04-06,True
Andrea,Johnson,Barber Mills 03666,Bethmouth,06579,Danmark,DK,19560104-9569,+45,(305)916-0822x1345,1956-01-04,True
Mats,Nilsson,Björkgränd 831,Uppsala,63442,Sverige,SE,19750529-1463,+46,0281-173 61,1975-05-29,True
Matthew,Manning,Gonzales Springs 84179,East Aimeefort,56757,Danmark,DK,19650403-5957,+45,001-669-689-3450,1965-04-03,True
Sofia,Söderlund,Järnvägsstigen 0,Trelleborg,61844,Sverige,SE,19401230-0538,+46,098-175 68 81,1940-12-30,True
Eric,Nilsson,Skoltorget 82,Karlskrona,44393,Sverige,SE,19530220-1772,+46,0914-54 39 83,1953-02-20,True
Connie,Schultz,William Mission 0295,Longhaven,12077,Danmark,DK,19400212-2235,+45,+1-648-293-0150x965,1940-02-12,True
Egil,Strand,Svendsenskogen 419,Karinberg,7356,Norge,NO,19661224-1910,+47,+47 84 10 09 51,1966-12-24,True
Morten,Larsen,Hansenhagen 3,Paulsen,3136,Norge,NO,19431130-8234,+47,+4731548354,1943-11-30,True
Steinar,Mikkelsen,Aasenvollen 3,Roarodden,8887,Norge,NO,19851105-3159,+47,94 59 92 26,1985-11-05,True
Vidar,Amundsen,Berntsenrøa 10F,Edvardsen,5010,Norge,NO,19910909-3339,+47,55 31 52 18,1991-09-09,True
Monica,Söderlund,Villagatan 8,Karlskrona,80474,Sverige,SE,19441003-3332,+46,067-33 97 86,1944-10-03,True
Brian,Baxter,Jones Bridge 8918,Robertburgh,66531,Danmark,DK,19571007-9210,+45,798.234.6156x6000,1957-10-07,True
Rune,Lindqvist,Strandgatan 973,Gävle,99293,Sverige,SE,19801105-5997,+46,+46 (0)8 964 801 41,1980-11-05,True
Synnøve,Hauge,Berntsenekra 3,Frankbø,6852,Norge,NO,19980605-4124,+47,49684902,1998-06-05,True
Otto,Nilsson,Parkstigen 4,Karlstad,59965,Sverige,SE,19970206-1648,+46,0935-377 27,1997-02-06,True
Linda,Rodriguez,Nicole Ways 8328,East James,94674,Danmark,DK,19610822-4257,+45,200-542-6745,1961-08-22,True
Barbro,Eliasson,Åkergränd 0,Örebro,29100,Sverige,SE,19881121-9868,+46,050-72 83 18,1988-11-21,True
Åke,Nordström,Gengatan 663,Malmö,15355,Sverige,SE,19880616-3886,+46,+46 (0)8 189 985 52,1988-06-16,True
Catherine,Buchanan,Davis Lights 54360,Lake Gabrielshire,91396,Danmark,DK,19620108-8738,+45,+1-482-213-5688x9386,1962-01-08,True
Juhani,Ojala,Bertha Pauligin bulevardi 55,Ylitornio,06456,Finland,FI,19440707-898B,+358,+358 70 4763846,1944-07-07,True
Krister,Danielsson,Björktorget 25,Umeå,88107,Sverige,SE,19410917-0325,+46,023-45 42 13,1941-09-17,True
Håkan,Sjöberg,Skolvägen 1,Helsingborg,72356,Sverige,SE,19990510-8782,+46,08-793 60 12,1999-05-10,True
Oskar,Henningsson,Ängsgatan 6,Uddevalla,95949,Sverige,SE,19410527-2324,+46,0730-912 61,1941-05-27,True
Stein,Thomassen,Hanssenberget 83,Berge,8801,Norge,NO,19971107-3616,+47,73218688,1997-11-07,True
Lilja,Kettunen,Tuulilasintie 68,Kangasniemi,13743,Finland,FI,19951011-2759,+358,+358171291223,1995-10-11,True
Dag,Nilsen,Lundestubben 5C,Nielsen,1412,Norge,NO,19441024-2506,+47,02 08 01 24,1944-10-24,True
Liisa,Mikkonen,Uurtajanpolku 33,Saarijärvi,64892,Finland,FI,19691015-655J,+358,005 806 8514,1969-10-15,True
Janne,Laaksonen,Saramäenkuja 522,Nurmijärvi,93799,Finland,FI,19551203-256M,+358,(+358) 346437288,1955-12-03,True
Øyvind,Eriksen,Eiderøa 1,Mariusøy,9101,Norge,NO,19710520-2248,+47,54013845,1971-05-20,True
Bjørg,Aune,Eidehaugen 2,Ruud,7532,Norge,NO,19450619-3129,+47,+4785352283,1945-06-19,True
Agneta,Hansson,Idrottsstigen 277,Örebro,74877,Sverige,SE,19560807-8601,+46,+46 (0)874 685 51,1956-08-07,True
Jeanette,Andersson,Granstigen 58,Sandviken,24887,Sverige,SE,19780807-8770,+46,033-855 07 11,1978-08-07,True
Jan,Nilsson,Trädgårdsgatan 0,Motala,82094,Sverige,SE,19870613-5531,+46,016-711 57 74,1987-06-13,True
Håkan,Henriksson,Ekgatan 84,Östersund,65687,Sverige,SE,19571204-0184,+46,077-829 52 68,1957-12-04,True
Johannes,Lepistö,Saparonbulevardi 735,Muonio,77659,Finland,FI,19781225-124L,+358,081 380 6599,1978-12-25,True
Ivar,Jakobsen,Pettersenhagen 1,Nielsen,7746,Norge,NO,19980406-7519,+47,91933851,1998-04-06,True
Kristian,Jönsson,Idrottsvägen 544,Gävle,17959,Sverige,SE,19740905-9645,+46,+46 (0)13 49 56 89,1974-09-05,True
Veronica,Diaz,Rebecca Garden 082,Lauraport,38646,Danmark,DK,19701017-3721,+45,001-424-567-0538x5628,1970-10-17,True
Tony,Mack,Murphy Summit 5741,West Michaeltown,72239,Danmark,DK,19910917-5851,+45,+1-913-760-7479x294,1991-09-17,True
Amanda,Nguyen,Harris Brooks 517,New Briannaland,95180,Danmark,DK,19700814-6893,+45,8875077605,1970-08-14,True
Elisabeth,Evensen,Vikåsen 8,Jensø,3699,Norge,NO,19960207-8652,+47,34427828,1996-02-07,True
Katarina,Forsberg,Industristigen 081,Örebro,57329,Sverige,SE,19941106-5668,46,08-326 26 69,1994-11-06,True
Lars,Eriksson,Ringtorget 38,Göteborg,75966,Sverige,SE,19871005-5407,+46,+46 (0)176 792 72,1987-10-05,True
Diana,Robertson,Price Island 9380,Christopherland,20576,Danmark,DK,19700215-6565,+45,2315522352,1970-02-15,True
Boris,Jakobsson,Furugatan 0,Karlskoga,56299,Sverige,SE,19411011-1779,+46,08-770 56 50,1941-10-11,True
Olivia,Haapala,Werner Wirénin tie 972,Kauniainen,34359,Finland,FI,19490827-5843,+358,046 235 5334,1949-08-27,True
Alexander,Ericsson,Björkvägen 98,Eskilstuna,69008,Sverige,SE,19431026-7531,+46,0490-371 66,1943-10-26,True
Joel,Johansson,Parkgränd 3,Motala,50625,Sverige,SE,19960619-7092,+46,+46 (0)8 734 550 23,1996-06-19,True
Katrina,Allen,Mary Spur 3802,Pettyville,87760,Danmark,DK,19510824-0145,+45,(547)988-8243x6217,1951-08-24,True
Agneta,Abrahamsson,Stationsgatan 9,Piteå,34194,Sverige,SE,19411009-5416,+46,08-632 00 14,1941-10-09,True
Mila,Pettersson,Aspgatan 94,Karlstad,77290,Sverige,SE,19780323-2457,+46,003-608 37 42,1978-03-23,True
Tom,Mikkelsen,Lundsvingen 1A,Myklebust,9220,Norge,NO,19961022-1850,+47,88 18 46 10,1996-10-22,True
Erika,Roth,Ringtorget 463,Karlskoga,43493,Sverige,SE,19831108-1950,+46,+46 (0)977 742 68,1983-11-08,True
Leif,Aas,Berntsenbakken 9,Erikås,4343,Norxe,NO,19710825-4309,+47,10 84 51 88,1971-08-25,True
Siv,Mårtensson,Backgatan 56,Halmstad,21295,Sverige,SE,19471207-8370,+46,+46 (0)8 258 935 53,1947-12-07,True
Rebecca,Hoover,Blake Knolls 283,Patriciamouth,87130,Danmark,DK,19730527-5680,+45,(667)575-6072,1973-05-27,True
Christina,Bergman,Kyrktorget 23,Lund,64943,Sverige,SE,19550206-6234,+46,08-575 17 44,1955-02-06,True
Sara,Evensen,Thorsengata 284,Håkonfoss,7897,Norge,NO,19621202-7580,+47,45838151,1962-12-02,True
Kristin,Bergström,Skolgränd 2,Luleå,72218,Sverige,SE,19811006-8680,+46,08-333 90 94,1981-10-06,True
Tove,Isaksen,Nguyentjernet 8,Hannenes,6029,Norge,NO,20000617-2529,+47,23886744,2000-06-17,True
Wenche,Abrahamsen,Næssplassen 72,Berg,2673,Norge,NO,19540703-0745,+47,+47 42 95 09 76,1954-07-03,True
Egil,Ødegård,Solberghagen 19,Mariannehelle,9570,Norge,NO,19591001-3612,+47,945 47 486,1959-10-01,True
Ann,Sandvik,Tangenåsen 1,Pålby,6332,Norge,NO,19781230-5803,+47,41193009,1978-12-30,True
Kari,Nygård,Nilsentjernet 70,Torbjørnsjøen,0386,Norge,NO,19950725-0562,+47,918 80 960,1995-07-25,True
Daniel,Karlsson,Backtorget 2,Lidköping,72584,Sverige,SE,19480528-7446,+46,+46 (0)760 544 34,1948-05-28,True
Hilde,Isaksen,Solbergmarka 5,Hanssen,2315,Norge,NO,19810923-8567,+47,91931505,1981-09-23,True
Nils,Niklasson,Skogsstigen 6,Kristianstad,49278,Sverige,SE,19780821-2924,+46,08-841 887 45,1978-08-21,True
Vilhelmiina,Sipilä,Elisabeth Kochin tie 12,Oripää,19382,Finland,FI,19410925-840D,+358,+358 643517800,1941-09-25,True
Patrick,Alvarado,Jones Hill 4383,Sarahshire,28024,Danmark,DK,19600308-9871,+45,(289)532-6688,1960-03-08,True
Margareta,Larsson,Industristigen 126,Karlstad,24167,Sverige,SE,19510914-8532,+46,010-292 04 43,1951-09-14,True
Jesper,Sjöström,Villagatan 2,Norrköping,13870,Sverige,SE,19970424-4721,+46,+46 (0)8 011 958 67,1997-04-24,True
Erik,Svärd,Kyrkgränd 8,Kristianstad,40393,Sverige,SE,19910908-1996,+46,010-041 69 03,1991-09-08,True
Tony,Olsson,Gengränd 76,Kristianstad,23689,Sverige,SE,19680512-5765,+46,08-911 65 78,1968-05-12,True
Karin,Edvardsson,Ringvägen 9,Sundsvall,62504,Sverige,SE,19641108-1598,+46,+46 (0)25 79 74 66,1964-11-08,True
Siv,Antonsen,Moeåsen 1,Mathiasvær,4489,Norge,NO,19670821-0499,+47,96443720,1967-08-21,True
Danielle,Wilson,Megan Walk 635,North Paultown,84515,Danmark,DK,19560206-6505,+45,001-611-956-8048x34542,1956-02-06,True
Fredrik,Larsson,Grangatan 69,Karlstad,45318,Sverige,SE,19490729-0187,+46,+46 (0)04 18 89 22,1949-07-29,True
Eero,Kivimäki,Fallinkuja 51,Lempäälä,67406,Finland,FI,19620425-3367,+358,(+358) 253366261,1962-04-25,True
Elin,Engvall,Strandvägen 043,Piteå,53491,Sverige,SE,19831016-7478,+46,08-708 366 82,1983-10-16,True
Rhonda,Thompson,Kayla Falls 3129,West Anthonyport,74082,Danmark,DK,19671025-7560,+45,(552)346-0113x949,1967-10-25,True
Maria,Karlsson,Kyrkgränd 734,Piteå,68748,Sverige,SE,19970119-9498,+46,08-65 55 86,1997-01-19,True
Kristin,Strøm,Nielsenberget 5,Sigurdodden,7817,Norge,NO,19851022-9501,+47,32 12 23 42,1985-10-22,True
Fredrik,Strand,Ruudhøgda 9,Aasen,1956,Norge,NO,19800611-8777,+47,10838691,1980-06-11,True
Ingeborg,Ahmed,Sørensengrenda 4C,Henriksen,0841,Norge,NO,19990712-4070,+47,20022079,1999-07-12,True
Mette,Henriksen,Rønningengen 79,Andershamn,3108,Norge,NO,19700607-5679,+47,91 38 25 94,1970-06-07,True
Jörgen,Johansson,Skogsgatan 45,Varberg,93106,Sverige,SE,19930216-0490,+46,056-149 83 90,1993-02-16,True
Linn,Johansson,Ringvägen 61,Landskrona,92705,Sverige,SE,19531030-9728,46,+46 (0)8 526 285 19,1953-10-30,True
Isak,Lind,Industrigränd 812,Lund,46786,Sverige,SE,19830314-6947,+46,08-36 92 36,1983-03-14,True
Monica,Eriksson,Nygränd 130,Luleå,89636,Sverige,SE,19560807-0264,+46,+46 (0)8 254 547 24,1956-08-07,True
Knut,Ivarsson,Villastigen 7,Växjö,48336,Sverige,SE,19411007-8922,+46,+46 (0)8 454 428 01,1941-10-07,True
Torbjørn,Jenssen,Hansenbakken 828,Maritvåg,2427,Norge,NO,19860120-1365,+47,412 92 085,1986-01-20,True
Mikael,Andersson,Ringgränd 65,Göteborg,76617,Sverige,SE,19661123-5831,+46,08-791 545 39,1966-11-23,True
Susanna,Huttunen,Mannerheiminbulevardi 026,Kirkkonummi,09404,Finland,FI,20000831-4490,+358,003 402 4850,2000-08-31,True
Gunnar,Melander,Stationsstigen 300,Halmstad,50120,Sverige,SE,19780403-6373,+46,+46 (0)41 18 63 11,1978-04-03,True
Yvonne,Malmgren,Ringgatan 158,Gävle,46566,Sverige,SE,19780730-8889,+46,08-018 338 16,1978-07-30,True
Juhani,Ojanen,Gotlanninpolku 8,Imatra,16630,Finland,FI,19840512-728J,+358,+358 13 3936252,1984-05-12,True
Elias,Svanberg,Genvägen 81,Borås,30658,Sverige,SE,19591220-5142,+46,08-006 102 23,1959-12-20,True
Petter,Berg,Bergalléen 69,Andersen,3354,Norge,NO,19860220-6587,+47,49095498,1986-02-20,True
Malin,Ødegård,Berntsenstubben 9,Iversen,3112,Norge,NO,19430617-5097,+47,+4791436323,1943-06-17,True
Jimmy,Öberg,Villatorget 0,Västerås,75342,Sverige,SE,19910607-6256,+46,091-56 22 04,1991-06-07,True
Gun,Lundblad,Industristigen 21,Umeå,12148,Sverige,SE,19790503-5271,+46,+46 (0)190 220 01,1979-05-03,True
Melanie,Barnes,Duran Junctions 6761,South Stephenstad,89489,Danmark,DK,19971004-3390,+45,(916)242-5106x43422,1997-10-04,True
Marika,Paananen,Gneissikuja 260,Virolahti,28407,Finland,FI,19780916-7248,+358,+358 37 4524999,1978-09-16,True
Laura,Myllymäki,Rantavarastontie 987,Ilomantsi,37082,Finland,FI,19961212-7537,+358,+358 74 3295780,1996-12-12,True
Per,Dahlberg,Stationsgatan 5,Lidingö,14679,Sverige,SE,19880612-7194,+46,0853-018 03,1988-06-12,True
Antonio,Garcia,Walker Valley 676,North Brian,69637,Danmark,DK,19750329-8017,+45,(335)214-5432,1975-03-29,True
Karoline,Sørensen,Ahmedmoen 1,Lund,9765,Norge,NO,19400604-0698,+47,438 60 346,1940-06-04,True
Eva,Hermansson,Stationsvägen 28,Motala,29564,Sverige,SE,19491031-6822,+46,028-982 23 91,1949-10-31,True
Thomas,Schaefer,Austin Passage 280,Lake Corystad,51959,Danmark,DK,19650215-4728,+45,001-333-405-9749,1965-02-15,True
Lori,Sullivan,Paul Port 24260,Waynefurt,91578,Danmark,DK,19850915-4520,+45,768.633.9650,1985-09-15,True
Laila,Rønning,Mathisenhagen 63,Karinhelle,2331,Norge,NO,19560428-6898,+47,95381695,1956-04-28,True
Samuel,Rantanen,Puusepäntie 68,Kankaanpää,73619,Finland,FI,19710126-603C,+358,0036045249,1971-01-26,True
Ole,Aune,Hanssengjerdet 4,Sisseldal,2979,Norge,NO,19940728-2792,+47,84163307,1994-07-28,True
Ann-Kristin,Nilsson,Strandgränd 851,Luleå,56051,Sverige,SE,19720115-7868,+46,+46 (0)8 563 444 06,1972-01-15,True
Erik,Andersson,Parktorget 931,Sundsvall,60297,Sverige,SE,19981123-1777,+46,018-21 35 41,1998-11-23,True
Robert,Berglund,Fabriksstigen 1,Örnsköldsvik,35928,Sverige,SE,19440131-7841,+358,041-28 68 51,1944-01-31,True
Theodor,Lundberg,Fabrikstorget 979,Sandviken,30559,Sverige,SE,19970417-4944,+46,+46 (0)8 109 783 97,1997-04-17,True
Aleksi,Nieminen,Maasalonpolku 110,Sipoo,01983,Finland,FI,19880311-5307,+358,+358562606641,1988-03-11,True
Gustav,Jonsson,Stationsstigen 055,Gävle,59199,Sverige,SE,19501031-7467,+46,08-87 21 77,1950-10-31,True
Helena,Nygren,Skolgatan 261,Uppsala,98924,Sverige,SE,19400531-3095,+46,+46 (0)8 312 073 41,1940-05-31,True
Inger,Lundberg,Ringtorget 1,Växjö,35799,Sverige,SE,19990514-5212,+46,08-374 08 45,1999-05-14,True
Angelica,Lindahl,Industritorget 78,Östersund,37936,Sverige,SE,19890116-2074,+46,+46 (0)8 956 680 54,1989-01-16,True
Jonny,Andersson,Skolvägen 9,Mölndal,10102,Sverige,SE,19410729-8015,+46,08-69 96 45,1941-07-29,True
Christopher,Olsen,Cynthia Road 112,Lindsayshire,74148,Danmark,DK,19610201-0331,+45,+1-280-889-5879x107,1961-02-01,True
Petri,Nevalainen,Tahtikatu 457,Marttila,55892,Finland,FI,19880609-861E,+358,(+358) 703990465,1988-06-09,True
Arne,Vik,Birkelandlia 4,Rasmussen,6154,Norge,NO,19490722-6416,+47,46613113,1949-07-22,True
Mathias,Johansson,Grantorget 34,Östersund,27646,Sverige,SE,19481007-5538,+46,083-40 27 18,1948-10-07,True
Sixten,Larsson,Skolgränd 35,Göteborg,41531,Sverige,SE,19830701-6415,+46,0026-862 63,1983-07-01,True
Øyvind,Karlsen,Edvardsenberget 16,Birkeland,2527,Norge,NO,19770703-0015,+47,94116937,1977-07-03,True
Margareta,Johansson,Björkgatan 34,Helsingborg,39034,Sverige,SE,19610901-0898,+46,08-049 606 10,1961-09-01,True
Felicia,Mohammed,Aspstigen 5,Växjö,16668,Sverige,SE,19950130-5076,+46,08-888 22 16,1995-01-30,True
Stefan,Ljungberg,Parkvägen 4,Uddevalla,18338,Sverige,SE,19910105-3201,+46,+46 (0)8 426 663 64,1991-01-05,True
Alva,Johansson,Kyrkstigen 470,Uddevalla,38974,Sverige,SE,19431111-7888,+46,014-05 34 98,1943-11-11,True
Tony,Söderström,Ringtorget 838,Stockholm,61876,Sverige,SE,19641019-5706,+46,08-78 44 79,1964-10-19,True
Jan,Sundström,Fabriksstigen 426,Sundsvall,91133,Sverige,SE,19881103-2113,+46,010-41 25 21,1988-11-03,True
Marianne,Johansson,Oravatie 4,Laukaa,56605,Finland,FI,19530202-292E,+358,+358550771310,1953-02-02,True
Susanne,Dahlgren,Storvägen 68,Eskilstuna,21199,Sverige,SE,19520213-2549,+46,08-053 82 67,1952-02-13,True
Martin,Carlsson,Industristigen 7,Eskilstuna,88381,Sverige,SE,19780616-4093,+46,091-33 46 72,1978-06-16,True
Monica,Strandberg,Storgränd 433,Trollhättan,25190,Danmark,SE,19790706-1161,+46,08-48 76 50,1979-07-06,True
Lena,Persson,Kyrkgatan 384,Lidingö,78943,Sverige,SE,19591101-3738,+46,+46 (0)8 715 246 59,1959-11-01,True
Anna,Johansson,Ringvägen 4,Luleå,11908,Sverige,SE,19950925-8222,+46,+46 (0)26 86 57 16,1995-09-25,True
Elizabeth,Johnson,Simmons Club 0143,East Brandonhaven,91353,Danmark,DK,19640630-5779,+45,(882)220-7214,1964-06-30,True
Gary,Young,Vanessa Centers 122,Sototown,11079,Danmark,DK,19881025-9842,+45,(582)496-7430x35784,1988-10-25,True
Jesse,Harris,Greene Loaf 9070,Andreafort,11617,Danmark,DK,19690422-8404,+45,313.510.2383x35723,1969-04-22,True
Camilla,Pedersen,Hagenrøa 4,Stigvåg,5636,Norge,NO,19610610-9669,+47,+47 99 46 46 54,1961-06-10,True
Finn,Bakken,Sætherplassen 3,Tobiasstad,1380,Norge,NO,19670605-2752,+47,94994058,1967-06-05,True
Erik,Hedin,Järnvägsgatan 4,Nyköping,70910,Sverige,SE,19900221-4424,+46,+46 (0)8 716 407 56,1990-02-21,True
Abdullah,Hjort,Storstigen 326,Skellefteå,97652,Sverige,SE,19980312-6717,+46,0588-31 19 67,1998-03-12,True
Helinä,Mäenpää,Betonikuja 690,Tammela,16026,Finland,FI,19780210-5439,+358,+358262855208,1978-02-10,True
Karl,Hauge,Bakkenberget 7C,Stinehamn,9382,Norge,NO,19541223-4079,+47,+4703004918,1954-12-23,True
Jenny,Johansson,Nygatan 507,Stockholm,38796,Sverige,SE,19910402-5322,+46,+46 (0)8 782 996 07,1991-04-02,True
Siv,Johannessen,Ahmedgjerdet 9,Jensfoss,6299,Norge,NO,19930304-0289,+47,963 83 611,1993-03-04,True
Andrew,Boyd,Arthur Estates 871,East Emilyhaven,14687,Danmark,DK,19531123-1774,+45,(203)669-8697x666,1953-11-23,True
Frida,Karlsson,Skoltorget 5,Helsingborg,39773,Sverige,SE,19740406-7420,+46,08-871 182 72,1974-04-06,True
Michael,Hancock,Keith Tunnel 394,Edwardburgh,84494,Danmark,DK,19971101-6185,+45,+1-224-340-7746x16614,1997-11-01,True
Trine,Jenssen,Jørgensenlunden 3B,Aasen,7274,Norge,NO,19700509-2137,+47,+47 21 34 76 45,1970-05-09,True
Peter,Olsson,Granstigen 785,Borås,17428,Sverige,SE,19520810-5203,+46,003-856 55 35,1952-08-10,True
Catarina,Näslund,Kyrkovägen 66,Mölndal,34865,Sverige,SE,19910915-2592,+46,054-021 96 07,1991-09-15,True
Jessica,Dawson,Walter Trail 18436,New Kennethton,21837,Danmark,DK,19710506-5664,+45,+1-656-642-2949x31068,1971-05-06,True
Dylan,Zavala,Katherine Motorway 735,Port Christopher,99649,Danmark,DK,19720413-9748,+45,(665)805-4489x1423,1972-04-13,True
Birgitta,Nyström,Trädgårdstorget 0,Ängelholm,72987,Sverige,SE,19870416-5608,+46,08-19 23 17,1987-04-16,True
Johanna,Valtonen,Fallinpolku 795,Simo,10135,Finland,FI,19470319-140S,+358,+358 701140877,1947-03-19,True
Erik,Andersson,Backtorget 7,Skellefteå,72580,Sverige,SE,19440420-2642,+46,0122-208 88,1944-04-20,True
Sören,Nilsson,Ängsgatan 01,Motala,59135,Sverige,SE,19581214-9170,+46,0446-572 69,1958-12-14,True
August,Svensson,Skolvägen 467,Eskilstuna,32370,Sverige,SE,19630105-7111,+46,015-703 45 14,1963-01-05,True
Johanna,Norén,Storgränd 475,Nyköping,46928,Sverige,SE,19430121-3740,+46,08-056 792 31,1943-01-21,True
Joshua,Carpenter,Taylor Fork 076,Ericabury,09384,Danmark,DK,19790303-7690,+45,+1-404-797-8909x8234,1979-03-03,True
Emily,Moody,Mcbride Ridges 247,Kyleview,87998,Danmark,DK,19650317-6166,+45,+1-707-830-4020x632,1965-03-17,True
Vegard,Ødegård,Andresenmarka 45,Markusby,1293,Norge,NO,19610120-8048,+47,462 16 726,1961-01-20,True
Matthew,Hunter,Doris Pines 37254,New Michellestad,54501,Danmark,DK,19740601-6901,+45,(296)810-8015,1974-06-01,True
Thea,Berge,Halvorsenskogen 03,Evensen,7647,Norge,NO,19430928-6232,+47,82 58 14 22,1943-09-28,True
Erik,Sundberg,Aspgränd 5,Karlstad,74355,Norge,SE,19420517-2809,+46,0122-41 75 49,1942-05-17,True
Pål,Antonsen,Danielsenbråten 943,Annadal,0304,Norge,NO,19601019-7792,+47,29 66 70 06,1960-10-19,True
Erik,Persson,Strandgränd 3,Skövde,31281,Sverige,SE,19430114-8477,+46,08-91 08 18,1943-01-14,True
Tina,Stewart,James Mission 3374,Kellychester,62544,Danmark,DK,19520307-9233,+45,6123777598,1952-03-07,True
Håvard,Haug,Mikkelsenskrenten 9,Randidal,3009,Norge,NO,19840728-3760,+47,43947964,1984-07-28,True
Erik,Svensson,Nyvägen 8,Södertälje,41830,Sverige,SE,19950331-6245,+46,08-869 07 35,1995-03-31,True
Debra,Dunlap,Foley Station 31644,North Kyle,75751,Danmark,DK,19691109-4765,+45,763-657-9718x6397,1969-11-09,True
Margareta,Persson,Kyrkvägen 04,Lund,88768,Sverige,SE,19510330-4756,+46,0733-74 10 10,1951-03-30,True
Gunnar,Gundersen,Martinsenstubben 93C,Helland,0806,Norge,NO,19850920-3376,+47,45574126,1985-09-20,True
Andreas,Strand,Aunejordet 34F,Solberg,6685,Norge,NO,19821105-9423,+47,41492883,1982-11-05,True
Karl,Larsson,Skolstigen 197,Uppsala,34344,Sverige,SE,19610609-2410,+46,+46 (0)326 900 72,1961-06-09,True
Jakob,Persson,Ekgränd 32,Trollhättan,58609,Sverige,SE,19651229-0419,+46,+46 (0)82 11 18 05,1965-12-29,True
Juho,Hyvönen,Salamatie 1,Nurmes,79661,Finland,FI,19580723-833P,+358,(+358) 233219219,1958-07-23,True
Björn,Nilsson,Skogsgränd 18,Uppsala,39178,Sverige,SE,19420808-3799,+46,+46 (0)687 862 49,1942-08-08,True
Otto,Väisänen,Fagottikuja 26,Nivala,94272,Finland,FI,19740715-452V,+358,0747288390,1974-07-15,True
Markus,Bäckman,Parkgatan 8,Luleå,74304,Sverige,SE,19891105-0640,+46,0729-176 61,1989-11-05,True
Jerry,Hart,Powell Turnpike 174,Port Donaldstad,16677,Danmark,DK,19880617-0735,+45,490.831.2970x80934,1988-06-17,True
Hilde,Berg,Larsenstranda 2,Arnesen,8440,Norge,NO,19720924-7956,+47,998 34 037,1972-09-24,True
Karl,Johannessen,Isaksenkroken 82,Joakimodden,9783,Norge,NO,19540203-4847,+47,02 20 81 88,1954-02-03,True
Karl,Nilsson,Björkgatan 61,Kristianstad,42678,Sverige,SE,19600624-3057,+46,0999-629 19,1960-06-24,True
